,expected_information_gain
should,0.05083059680530222
be,0.03862819911547477
following,0.021062990848687124
plasma,0.02046320455420436
interact,0.02025292204170215
:,0.019742020283875616
protease,0.016667945633160097
may,0.013164932437837118
effects,0.013131058102743398
oral,0.012999876572558522
levels,0.01250580044234606
%,0.011921951381587914
",",0.011828395529154712
HIV,0.011642182605834828
thyroid,0.011619545605116244
medications,0.011407994434273983
Johns,0.011233472525997712
classified,0.011174114740980734
Contin,0.011151911705344242
include,0.011134588992619099
(,0.011003961696251063
),0.010996720674924743
inhibitors,0.01091265163264632
chloral,0.010890624020208572
MS,0.010873552921702112
steroids,0.01071940908800495
unreliable,0.010696683788576689
man,0.010587499534161604
*,0.010549836736960971
St.,0.01041782078894693
AUC,0.01037373912308015
wort,0.010338893511819602
hydrate,0.010151971785199332
ie,0.009909939345244312
concentrations,0.00977413421786233
warfarin,0.009563200215521483
is,0.009436323658445711
dietary,0.009387740229031771
hot,0.009385756054520189
vaccine,0.00937424379544649
influenza,0.00937424379544649
elements,0.009366101517992553
anabolic,0.009366101517992553
inhalation,0.009366101517992553
triclofos,0.009366101517992553
deficiencies,0.009366101517992553
oxolinic,0.009366101517992553
narcotics,0.009366101517992553
overdosage,0.009352146611632972
weather,0.009347210311532184
drugs,0.009343566103741763
acid,0.009334685444733926
;,0.009328800032453954
affecting,0.009313165599333706
nalidixic,0.009296260622593366
caution,0.00926535962503705
mefenamic,0.009258442960303093
oxidase,0.009238645535121881
monoamine,0.009221746616237758
of,0.009176120225634521
with,0.009162075635681277
determinations,0.008943354453275432
virus,0.008919270517920297
found,0.008798050793674017
response,0.008681432502377073
metabolism,0.008666829354233574
CYP3A4,0.008648187485816194
sodium,0.008631652695411773
reportedly,0.008563204389538615
hepatotoxic,0.008434968015309185
expected,0.00828614566463104
C,0.008100156434311723
CYP,0.0080881495545998
time,0.007970465720805286
long,0.007936635781535584
acting,0.00790891563404339
aminosalicylic,0.007902110559097952
ethacrynic,0.007835782640721045
trimethoprim/sulfamethoxazole,0.007799729740646133
prothrombin,0.00775122169520559
enzymes,0.007735532112139287
action,0.0076917024844118664
prolonged,0.007658557694888546
Agents,0.00757071252862529
not,0.007520335515622256
increase,0.007237897178640318
decreased,0.007224576523233606
no,0.007040920314822174
interactions,0.007036728884088683
blood,0.006882332422434523
that,0.006675087716673578
medicines,0.006640014405955963
induction,0.006554125684320233
absorption,0.006547525152964528
Caution,0.006365583195051316
clearance,0.006344820921699523
enhance,0.006329463805649027
vitamin,0.0060424005652308654
Drugs,0.005922240341498908
studies,0.005756139480868172
4,0.005703285760694898
Therefore,0.005700872501913867
